decimal_year,sst
2015.0,24.105904
2015.0833333333333,23.70094
2015.1666666666667,24.26743
2015.25,24.585709
2015.3333333333333,25.333227
2015.4166666666667,26.206982
2015.5,26.770243
2015.5833333333333,27.210974
2015.6666666666667,27.274765
2015.75,26.9962
2015.8333333333333,26.429098
2015.9166666666667,26.161427
2016.0,25.391432
2016.0833333333333,25.036955
2016.1666666666667,25.17169
2016.25,25.301907
2016.3333333333333,25.830044
2016.4166666666667,26.406702
2016.5,26.81538
2016.5833333333333,27.476748
2016.6666666666667,27.621729
2016.75,27.57506
2016.8333333333333,27.201597
2016.9166666666667,26.563475
2017.0,26.086926
2017.0833333333333,26.058819
2017.1666666666667,25.748785
2017.25,25.847956
2017.3333333333333,26.77037
2017.4166666666667,26.909939
2017.5,27.216118
2017.5833333333333,27.64237
2017.6666666666667,27.754065
2017.75,27.592976
2017.8333333333333,27.051838
2017.9166666666667,25.732777
2018.0,25.110302
2018.0833333333333,24.450838
2018.1666666666667,23.952185
2018.25,24.296972
2018.3333333333333,25.118801
2018.4166666666667,25.408903
2018.5,25.782402
2018.5833333333333,26.50571
2018.6666666666667,26.864088
2018.75,26.745829
2018.8333333333333,26.15185
2018.9166666666667,25.094753
2019.0,24.18425
2019.0833333333333,23.905306
2019.1666666666667,24.107145
2019.25,24.266922
2019.3333333333333,24.335361
2019.4166666666667,25.215927
2019.5,25.98862
2019.5833333333333,26.323471
2019.6666666666667,26.5363
2019.75,26.30635
2019.8333333333333,25.78724
2019.9166666666667,24.82733
2020.0,24.154953
2020.0833333333333,23.8333
2020.1666666666667,24.120422
2020.25,24.258646
2020.3333333333333,25.431456
2020.4166666666667,25.748865
2020.5,26.194304
2020.5833333333333,26.77288
2020.6666666666667,26.810993
2020.75,26.534472
2020.8333333333333,25.613392
2020.9166666666667,25.00716
2021.0,24.469414
2021.0833333333333,23.972467
2021.1666666666667,24.613403
2021.25,24.858444
2021.3333333333333,24.95391
2021.4166666666667,25.339586
2021.5,26.114876
2021.5833333333333,26.841694
2021.6666666666667,27.348131
2021.75,27.598309
2021.8333333333333,26.454828
2021.9166666666667,25.521017
2022.0,25.385195
2022.0833333333333,25.195873
2022.1666666666667,24.515121
2022.25,24.848537
2022.3333333333333,26.006313
2022.4166666666667,26.480555
2022.5,26.977085
2022.5833333333333,27.56177
2022.6666666666667,27.738876
2022.75,27.286127
2022.8333333333333,26.155512
2022.9166666666667,25.425474
2023.0,24.99248
2023.0833333333333,24.858112
2023.1666666666667,24.957386
2023.25,24.988005
2023.3333333333333,25.03675
2023.4166666666667,25.339148
2023.5,26.280354
2023.5833333333333,27.015627
2023.6666666666667,27.675192
2023.75,27.80883
2023.8333333333333,26.478575
2023.9166666666667,25.48852
2024.0,25.156675
2024.0833333333333,24.447643
2024.1666666666667,24.022223
2024.25,23.97608
2024.3333333333333,24.253695
2024.4166666666667,25.276209
2024.5,26.078777
2024.5833333333333,26.75856
2024.6666666666667,27.246763
2024.75,26.90229
2024.8333333333333,25.776909
2024.9166666666667,25.39253
2025.0,24.888565
2025.0833333333333,24.54688
2025.1666666666667,24.324606
2025.25,24.663038
2025.3333333333333,25.529112
2025.4166666666667,26.410624
2025.5,27.153475
2025.5833333333333,27.611147
2025.6666666666667,27.916048
2025.75,27.309677
2025.8333333333333,26.773623
2025.9166666666667,26.024149
2026.0,25.001484
2026.0833333333333,24.454895
2026.1666666666667,24.896893
2026.25,24.723991
2026.3333333333333,25.850927
2026.4166666666667,26.56758
2026.5,27.225655
2026.5833333333333,27.777338
2026.6666666666667,28.432192
2026.75,28.531706
2026.8333333333333,27.220448
2026.9166666666667,26.339672
2027.0,26.086102
2027.0833333333333,25.878159
2027.1666666666667,25.968372
2027.25,25.924532
2027.3333333333333,26.013586
2027.4166666666667,26.695196
2027.5,27.392904
2027.5833333333333,28.178675
2027.6666666666667,28.498543
2027.75,28.501646
2027.8333333333333,27.825296
2027.9166666666667,26.978971
2028.0,26.336338
2028.0833333333333,25.763412
2028.1666666666667,25.474493
2028.25,25.346437
2028.3333333333333,26.067274
2028.4166666666667,26.789736
2028.5,27.346851
2028.5833333333333,27.943335
2028.6666666666667,28.10367
2028.75,27.717169
2028.8333333333333,27.128487
2028.9166666666667,26.577917
2029.0,25.522955
2029.0833333333333,25.367395
2029.1666666666667,25.281652
2029.25,25.695183
2029.3333333333333,26.14759
2029.4166666666667,27.587471
2029.5,28.15998
2029.5833333333333,28.992884
2029.6666666666667,29.456964
2029.75,28.765715
2029.8333333333333,27.244814
2029.9166666666667,25.73053
2030.0,25.176966
2030.0833333333333,25.151306
2030.1666666666667,24.744932
2030.25,24.752518
2030.3333333333333,25.089916
2030.4166666666667,26.168032
2030.5,26.666618
2030.5833333333333,27.54558
2030.6666666666667,27.899414
2030.75,28.14412
2030.8333333333333,27.148914
2030.9166666666667,26.480381
2031.0,26.125223
2031.0833333333333,26.15907
2031.1666666666667,26.166018
2031.25,25.820429
2031.3333333333333,26.273268
2031.4166666666667,26.77782
2031.5,27.477337
2031.5833333333333,28.23618
2031.6666666666667,28.685266
2031.75,28.405506
2031.8333333333333,27.732754
2031.9166666666667,26.739996
2032.0,26.508125
2032.0833333333333,26.773811
2032.1666666666667,26.332554
2032.25,26.344835
2032.3333333333333,26.524488
2032.4166666666667,27.300457
2032.5,27.775528
2032.5833333333333,28.283325
2032.6666666666667,28.39498
2032.75,28.179419
2032.8333333333333,27.191086
2032.9166666666667,26.52779
2033.0,26.241192
2033.0833333333333,25.758753
2033.1666666666667,24.839588
2033.25,24.75011
2033.3333333333333,24.994934
2033.4166666666667,25.857214
2033.5,26.781954
2033.5833333333333,27.73319
2033.6666666666667,28.18023
2033.75,28.141735
2033.8333333333333,26.99161
2033.9166666666667,26.358196
2034.0,25.27445
2034.0833333333333,24.88984
2034.1666666666667,24.87941
2034.25,24.532118
2034.3333333333333,24.817602
2034.4166666666667,25.61033
2034.5,26.298843
2034.5833333333333,27.093262
2034.6666666666667,27.439575
2034.75,27.454205
2034.8333333333333,26.74768
2034.9166666666667,25.883509
2035.0,25.191292
2035.0833333333333,25.335133
2035.1666666666667,25.754368
2035.25,26.128662
2035.3333333333333,26.17323
2035.4166666666667,26.73687
2035.5,27.375635
2035.5833333333333,27.83559
2035.6666666666667,28.15631
2035.75,27.75565
2035.8333333333333,26.984932
2035.9166666666667,25.774372
2036.0,25.224155
2036.0833333333333,24.854067
2036.1666666666667,24.734241
2036.25,24.645805
2036.3333333333333,25.730347
2036.4166666666667,26.349665
2036.5,26.96311
2036.5833333333333,27.571806
2036.6666666666667,28.056715
2036.75,27.634706
2036.8333333333333,26.318232
2036.9166666666667,25.280994
2037.0,24.486536
2037.0833333333333,24.268114
2037.1666666666667,24.61252
2037.25,24.839153
2037.3333333333333,25.346706
2037.4166666666667,26.166952
2037.5,26.814514
2037.5833333333333,27.519255
2037.6666666666667,28.152063
2037.75,27.769861
2037.8333333333333,26.764744
2037.9166666666667,25.49224
2038.0,25.130981
2038.0833333333333,24.944878
2038.1666666666667,25.085608
2038.25,25.163404
2038.3333333333333,25.811142
2038.4166666666667,26.749777
2038.5,27.300522
2038.5833333333333,27.65238
2038.6666666666667,27.922485
2038.75,27.584656
2038.8333333333333,27.26711
2038.9166666666667,26.312847
2039.0,25.766888
2039.0833333333333,25.709644
2039.1666666666667,25.18927
2039.25,25.490343
2039.3333333333333,26.263931
2039.4166666666667,26.696554
2039.5,27.232199
2039.5833333333333,27.886677
2039.6666666666667,28.206701
2039.75,27.829432
